	host species	locality	season	year	case	Dper	Dcon	Fgib	Scep	Sacsp	Scur	Sobe	Sten	Sbra	Hben	Hspl	Sspa	Lput	Lesp	Leco	Spap	Sdim	Smin	Aadr	Nper	Cbio	Lmed	Lcep	Lcha	Limi	Lszi	Lcon	Lvan	Mcep	Erge
2RSPS08	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0
2RSPS09	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	32	0	129	0	0	1
2RSPS10	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	13	0	113	0	0	0
2RSPS11	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	7	0	1	0	0	0	4	0	4	0	0	0
2RSPS12	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	1	0	0	0	13	0	350	0	0	0
2RSPS13	Cr	SPS	A	2004	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	29	0	0	0	0	0	22	0	72	0	0	0
2RSPS14	Cr	SPS	A	2004	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	15	0	157	0	0	0
2RSPS15	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	59	0	0	0
2RSPS16	Cr	SPS	A	2004	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	12	0	498	0	0	0
2RSPS17	Cr	SPS	A	2004	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	0	0	0	0	0	7	0	150	0	0	1
2RSPS18	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
2RSPS19	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	36	0	0	0
2RSPS20	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
2RSPS21	Cr	SPS	A	2004	0	0	8	0	3	0	0	0	3	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	32	0	0	0
2RSPS22	Cr	SPS	A	2004	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0
2RSPS23	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	5	0	0	1
2RSPS24	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	101	0	0	0
2RSPS25	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	64	0	156	0	0	0
2RSPS26	Cr	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	4	0	256	0	0	0
2RSPS27	Cr	SPS	A	2004	0	0	12	0	3	0	0	0	3	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	45	0	0	0
2RSPS28	Cr	SPS	A	2004	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	13	0	29	0	0	0
2RSPS29	Cr	SPS	A	2004	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	21	0	82	0	0	0
2RSPS30	Cr	SPS	A	2004	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	363	0	0	0
4RSPS01	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	12	0	208	0	0	0
4RSPS02	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	11	0	3	15	0	0	0	0	1	0	0	6	0	0	0	0	0	9	0	31	0	0	0
4RSPS03	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0
4RSPS04	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	40	0	0	0
4RSPS05	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	35	0	0	0
4RSPS06	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	21	0	0	0	0	0	185	0	202	0	0	0
4RSPS07	Cr	SPS	A	2005	0	0	2	0	0	0	0	0	11	0	3	9	0	0	0	0	0	0	0	15	0	0	0	0	0	1	0	292	0	0	0
4RSPS08	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	576	0	0	0
4RSPS09	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	41	0	48	0	0	0
4RSPS10	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0	145	0	0	0
4RSPS11	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	2	0	0	0	0	0	211	0	0	0
4RSPS12	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	11	0	607	0	0	0
4RSPS13	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	3	0	27	0	0	0
4RSPS14	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
4RSPS15	Cr	SPS	A	2005	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	0
3CEDS01	Mc	EDS	S	2005	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	92	0	6	3	6	0	0	0	0	0	0
3CEDS02	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	45	0	13	17	3	0	0	0	0	0	0
3CEDS03	Mc	EDS	S	2005	2	12	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	2	0	0	11	0	7	13	1	0	0	0	0	0	0
3CEDS04	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	39	0	0	1	1	0	0	0	0	1	0
3CEDS05	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	16	0	2	8	4	0	0	0	0	0	0
3CEDS06	Mc	EDS	S	2005	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	4	5	4	0	0	0	0	0	0
3CEDS07	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	17	11	3	0	0	0	0	0	0
3CEDS08	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	8	0	0	0	0	0	0
3CEDS09	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	1	0	0	0	0	0	0	0	0
3CEDS10	Mc	EDS	S	2005	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	16	0	1	1	2	0	0	0	0	0	0
3CEDS11	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	17	0	0	5	2	0	0	0	0	0	0
3CEDS12	Mc	EDS	S	2005	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	30	0	0	10	0	1	1	0	0	0	0	0	0	0
3CEDS13	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	45	0	0	15	0	5	2	2	0	0	0	0	0	0
3CEDS14	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	102	0	20	17	3	0	0	0	0	0	0
3CEDS15	Mc	EDS	S	2005	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	5	0	18	7	6	0	0	0	0	0	0
3CEDS16	Mc	EDS	S	2005	2	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	32	0	0	324	0	11	5	9	0	0	0	0	0	0
3CEDS17	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	142	0	2	4	11	0	0	0	0	0	0
3CEDS18	Mc	EDS	S	2005	2	1	0	0	5	8	1	0	0	0	0	0	0	0	0	0	0	44	0	0	43	0	13	8	2	0	0	0	0	0	0
3CEDS19	Mc	EDS	S	2005	2	0	0	0	10	20	2	0	0	0	0	1	0	0	0	0	0	5	2	0	3	0	0	0	0	0	0	0	0	0	0
3CEDS20	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	8	0	28	0	2	3	2	0	0	0	0	0	0
3CEDS21	Mc	EDS	S	2005	2	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	19	0	8	1	9	0	0	0	0	0	0
